card_name,category,prediction
The Magician,personality,"Being Intelligent, Knowledgeable, Ambition Survive Well Self -CONFIDENT LIKE TO LEANN NEW TONE STOP Being Good at Saying Good Negotiations. USULY Dos NOT WITH THE LINE THE LINE THE LINE THE LINE THE LINE THE LINE THE IS STUDIED THE"
The Magician,education,"During this period, you will start to feel that you are More More Enthusiastic about Studying. As Well As Hiving The Idea to Develop Better Education Potential in the Past Howver .. in this phase, you should try to filly dedicate your studies. BECAUSE Your Brain Will Be Clear and Make You Understand The Various Academic Quickly. ITERE IN A PREINTATION IN THIS PIRIOD, You will Be Able to Do Better Than You Think. And Make People Around You More Acceptable For Your Ability What You Nene Fam Careful is THIT YOU MAY THE THE THE YOU UDERSTANT THAT NEED TO BE STUDIED, But when Deep Down In Detail, You MAY MISS BECASE THE SKINE THE SKINE THE SKINE."
The Magician,luck,"During this Period, You often Have Fortune Due to You are. Or Your Own Abilities, Such As The The The The The Fortune, ETC. But IF Ite is a Fortune That has Been Acquired, The Money is not Yet Availble. IN TERMS of Gamble, IT Can Be Hoped. 50% Chance of Risk"
The High Priestess,card_name,The High Priestess
The High Priestess,love_single,"The Love Situation in this period will look vague. Makes IT Difficult to Guess What Direction The Relationship Will Be IF You Are ARTILL FIERCE AMET SOONE, You May Feel that He is Charming. And Attract You to Approach It seems that He is a Mysterious Person, What Makes You want to know. Him More Howver, Should Chenully BECAUSE IT is likely That He Maay Alarels."
The High Priestess,love_in_relationship,You may be worried and stressed about the relationship. Between you and your lover. Your Logver May An Attitude That Makes You Feel Suspicious or Not Confident. You Need to Spend More Time and Patience in Suporting The Isehip in the Perfect Place. There May ALSO Be Communication or Discusions in a Non -Disclosed Manner As Well. This Period May Required
The High Priestess,career,"During this period, you may be uncomfortable. And Bored of Work. Which May Be a Matter of Society in the Workplace is Not Good Or Work with High Pressure as well. But if working in others Types, Be Careful to Work Wrong As Well the Atmosphere of this Work is Noty Good. You Need to Control Your Emotions BECAUSE There Are often Fussy Things That Cause Knot to Drop Frequently in People Who Do Personal Business During Do not Investing. More Should Wait for a While."
The High Priestess,finance,"Finance in this phase is aection Difficult Period of Money. You May Have Ideas About The Future. Or have the Idea that you wan save money but these emotions tend to have periodically, Making IT Conclude and Not Collected once. If you think that will be collected, Becauses are oftensons to use and luxur and luxur and luxur. People with Debt, IT May Be Gery Stressful. BECAUSE I don't know what way to go to Money from Should Be Comfortable and Gradually Find A Way to Fix Step by Step and Should Save More Anyone Borrowed Money, IT is likely. Being Wrying Money or IF Not Following The Demand for a Long Time To get back in Summary, The Financial Period is Not G Good, So don't spend Too Much."
The High Priestess,health,Your Health in this Phase is not Much Worrisome. But Should Be Careful of the Health Related to the ABDOMEN ESPECIALLY in the Area of ​​the Stomach Gery Much Including Fat Related Diseases Various Cholesterol and Body Weight Problems As Well.
The High Priestess,personality,"Is a solitude lover but Keeps Good Data Can Maintain Secrets High Private World Have a Mysterious Charm Premonition. Imagination and Creativity often Doomsething Amotions, Sensitive. Others and Think Too Much, Causing Uncomfortable During Irritability, Will Use Good Money. Have a Self -CONSCIUSENESS"
The High Priestess,education,"IF Your Education is Related to Art or Subjects that Do Not Focus on Calculating Much the Academic Performance is quitter than expected. But if it is a Subject Related to Calculations, IT May Be More Careful than USUAL. BECAUSE There is a Chance to make a mistake this period Should Be Careful of INSUFFICIENT SLEEP. Or Sleep Too Late BECAUSE IT WILL AFFECT THE STUDY MAKE IT Unaware of Learning IFTE A Competitive Examination in this Period, There Will Be NOT MUCH. Should Be More Intended Have a CHANCE TEISED AMIST THE THE THE THE THE THE THE THE THE THE THE THE THE THE THE THE THE THE THE THAT It Shouldn's Be Missed in Addition, IFTRE BEELLING THE ELAT THE ELUL OUL OUL OUT TRY TO BLEREVETSS. BECAUSE Ite is likely to follow"
The High Priestess,luck,"During this Period, There is no Fortune. Ifiting for the good news, it is likely to be delayed than you expact. IN TERMS of Gamble, IT's Noteiy Suitable. 20% Chance of Risk"
The Empress,card_name,The Empress
The Empress,love_single,"If you are are still this card appears that you tend to meet Someone in the Future. But Still Not Sure That The Relationship What Form Will it Be? Still have to wait first but if you like or are Interted in Someone, You may have to be an offensive. IF Staying Still, Would Like to Know That There is a CHnce of How Much Hope But Should Approach Slowly"
The Empress,love_in_relationship,"During this Period, The Relationship Between You and Your Log Warm and Gery Close. If You have Been Dating for a Future Together Want to Create a Family Together in Addition, IN PEOPLE WHO Married, if you want to have an heir to Investigate, THIS IN CONSIDER THE SWALL."
The Empress,career,"In this period, the work May not anyhing to challenge you. If you keep doing it, Inert Your Work May Make you run out of power. Therefore, You Should Look for Someting that Adds Experience in Various Fields for You are. IN PEOPLE WHO HAVE WORKED for A Long Time, This Rhythm Will Have the Opportunity to Progress. Promoted to the Position ESPECIALLY IF THE BOSS IS A Woman, You May Be well supported. But Must also Always please The Boss for Those Who do Personal Business You May Feel The Program If you have been doing business for a long time, that means you may get More Customer Base. Or Have More Sale But IF Justing The Business You Should Be Calm and Patiently Wait."
The Empress,finance,"Be Careful of Your Own Money. BECAUSE at this time you will feel that the you want to be full making the decision to spend with content content clothing. Or Beautiful Things Including Extravagance As Well BECAUSE You Will Start to Feel TO YouSELF TO LOON BEFORT THA BEFORE BUT IF A Man May Receative From From Female Adults CAN BEAR BEVERS GIVES GIVES GIVES GIVES GIV OPPORTUNITY TO WORK CAN Improve Finance As Well in Personal Business People, Finances Will Start A Little Better, But don't Be Careless. Ifiting for Financial News, IT Ite Ilikely to Recetive Money for Sure. But there will be delays occurring"
The Empress,health,"This Period Should Be Careful of Too Much Stress. Or Head -related Diseases Such As Migraine, Headaches, InCluding A Little Reason for People Who Are Sick or Uncomfortable Will Have Better Symptoms THA BEFORE OVE ORVER OVE It is likely to disappear soon."
The Empress,personality,"Gentle But not Weak, Kind, Has A High Mother Like to Take Care of Others Love Convenience Untiments Secretly Lazy But Will NOT STOP World Will Will Will Will Will Wayaus of Fair of Fearing Not Buy One Piece. Must have a Backup Help a lot of People Rejecting People Rarely, OKten not Falling, Always Have Enough Money IT's a Man Most of them Will Have Patronage."
The Empress,education,"Be Careful of Acting Too Comfortable. IN STUDYING, IT Can make your academic performance wors. IN this Period, You May Feel that It is Not Reery Interted in Studying As Much As It Should Be. Be Careful of Problems with Adults in the House BECAUSE OF THIS. But if you study Faculty or Subjects Related to Art or Creativity You Will Be Able to make a grade better than expression. However, IT Should Be Tryed More Seriously, IT Will Improve the Overall Grades. ITRE Is Any Exam in This Phase, Don'T BE Be Careless. BECAUSE You MAY NE BE WORRID ORID ORIDO THE TOO Comfortable What Will Have more Negative Effects on You Than Good Results"
The Empress,luck,"You may have a little lock from female adult relatives. Or if there is a female boss, it will be supported by Your Own Boss Regarding Opportunities for Luck There Are Hopes about 30%."
The Emperor,card_name,The Emperor
The Emperor,love_single,"Single People Will Have the Opportunity to Find Love with Men Older than You for Many Years. INCH HIS PERSONALITY WILL BEERY Leadership It Can Be Said That He is a Straightforward Person with His Feelings. He May Flirt with You StraightForward and Quickly Attack you. In Addition, You May Find Love from Traveling Aborad or Finding Love with Foreigners AS Well."
The Emperor,love_in_relationship,"You will feel that loves do not care about you as mush as the they. And often do as you like. Many Things Make You Losing The Feeling of this Couple, IT IS NECESSARY TO THE LOVE THE LOVES NOT THE HEART In The Right Position. And often do what you want deeming Too Much Will Make the Relationship Wort."
The Emperor,career,"If you work invoed with Foreigners or Organ Are Foreign Companies Considered that The Work in this Phase Will Be Smooth and Not Gery Much. But Must Be Careful of Conflics with the Boss or Adults at Work As Well you Will Feel Tired of the Work You Are Doing. As Well As Hiving Quite A Lot of Pressure Howver, This Card Will Indicate The Move Forward. Do not Escape The Problem or Walk Back Backless of How Serious The Problem is if you do not give up Easily, IT Will Definitly Be Successful. In Those Who Work their Own Work, The Still Have to Wade and Endure The Business. Overall, The Business is Whole Stable, But There May Not Be Much Profit."
The Emperor,finance,"Finances in this phase are not very good. But Still Able to Control The Financial Situation You May to Reduce Socializing A Bit Bit Bit Bit Bit Bit Bit A LOT A LOT OF MONEY OR TOURISM. INRE PEAPLE ,TER MAY BE EXPENSES REGARDING ADULTS in the House. Or Traveling Aborad IF NotCessary, Do NOT Anyone Borrow Money During this Period BECAUSE IT is Longers than It Will Return. IN PEOPLE WHOR ARE HAVING FINANCIAL Problems, TRY TO CONSULT THE ADULTS You RESPECT. You May Receive Help from Senior. Or adults in your house people who do their owner. But Must Be Rey CareFul BECAUSE There May Be Problems That Can Not Turn The Money Later"
The Emperor,health,"This Period Should Be Careful of Too Much Stress. Or Head -related Diseases Such As Migraine, Headaches, InCluding A Little Reason for People Who Are Sick or Uncomfortable Will Have Better Symptoms THA BEFORE OVE ORVER OVE It is likely to disappear soon."
The Emperor,personality,"Love Perfection Like People To Admire Big Face Waste of Money, But Can't Lose Usualy A Powerful Person What Do You Say? People Will Stop Listening to High Standards. Do not Like People to Displease Absolutely Decision Love and Dignity Being a Fighter, Invading, HAL EGGENT, Does Nost Anyone to Work Easily BECASE HE WAS AFRAID THE WERE BROWNE THE BROWNE THE AN and Most of That Reason will Always Be Correct"
The Emperor,education,"During this Period, There Will Be A Feeling of Stress and Pressure on Education. IT May Be a Time When there is aeswork or has to make a lot of reports. Makes IT More Tire Than USUAL IFTER ARE SULEJECTS REALTED TO FOREIGN LANGUAGES, You Must Be ESPECIALLY CAREPELY CARE May Not Undertand or Learn to Do Not to know in People Who Have Exams During this Period, IT IS STILL CONSIDERED OK. But if wanting a better score, it is NECESSARY to Be More Diligent. Simply Called, IF Wan Study Successful, The Must Be Self -RELIANT, Do NOT HOPE, Or Hurry To Prepare to take the Final Episode Becauuse the Will NOT CATCH Up. In PEOPLE WHOO WHOO TOOVE TOW TO WOVE THAT FRIEL THE GROU PROP ARE NORE COOPORTIVE OPEN HE THE Group"
The Emperor,luck,"Overall, IT IS NOT CONSICED A LOT OF FORTUNE. But is Considered to Receive Help from Male Adults in Terms of Gamble There Are NOT MANY OPPORTUNITINES, But IT Can Be Risky About 30%."
The Hierophant,card_name,The Hierophant
The Hierophant,love_single,"In Single People, There Will Be No Chance of Love. Or Maybe Someone Comes Into Life But not Good Enough. IT Takes Time to Learn Slowly."
The Hierophant,love_in_relationship,"You may be open -Minded to talk hostly. And Should USE REASON More than Emotions You may have older lovers or adult habits. Therefore Have TO BE PAITIE WHENT EY COMPLON ORTACH YOU in A Couple that Have BEEN THE BEEN THE BEEN THE A LONG TIME, There May Be A Talk about the Future Between You, What to Do Next?"
The Hierophant,career,"You will have a need to grow and progress in your career. IT Can Be Said that this Phase Will Be Committed and Confident that Others May Be Disgusted by You. If Working for a Long Time, There Will Be Be A Chance to Promote IFO You Have Outstanding Work. Or have Improved YouSELF, Such As Going To Study, Studying Foreign Languages, ETC. ButC. But ID. DO NA have any additional skills at all, it mother. Is Working Continuously, for Those Who Are Looking for a New Job, You STILL HAVE HOPES AS WELL BUT MAY BE NEGOTIATED ABOUT SALARIY, Making IT DECIDE WHETHER TO MOVE THE JOB WELL OR NOT"
The Hierophant,finance,"It is a period that is determined and really needs the future. If you spend money in the past, you will start to world your financial Future. Have an Idea to Invest or Finds to Increase Existing Money in Regular Workers, You will Start to Save More than Before. And There is a need to make more money for Personal Business People, You may have to manage the company's Financial System. It will help the Financial in the Organization More Agile As Well. In Addition, The Overall Financial is still considered not stuck. Called that this rhythm is Quite Money Coming in To Spin Smoothly."
The Hierophant,health,"Should Be Careful of the Throat Disease, Such As Sore Throat, Neck, Spronchitis in Addition, Eating Too Little Water or Working Hard Can Result in Chronic Illness As Well. Therefore Should Take Good Care of Your Health. IN SICK PEOPLE, Should Find Time to see a doctor. And Adjust the Behavior of New Life IF The Chronic is Sick, The Symptoms Will Improve But not. 100% Well."
The Hierophant,personality,"Often do Anything in Accordance with the Rules and Regulations, Respect, Rules, Discipline, Convenience Thorough Thorough Some Angles Will Constervision and Fussy. A Solemn Personality Or Solitude Like to Search for Information, Philanthropy, Charity, Kindness, LIKE Doing Things Repeatedly, Hate The Problem of Quarrels, So Think A Lot Someting that is Correct, Safe, Not Risky. High Caration"
The Hierophant,education,"You will feel that you are more determined to develo you know. ESPECIALLY IN THE PAST, You DIDN'T PAY ATUDYING AS MUCH As My Should Be. You will have an Idea of ​​IDEA of Improving Yoused YouSELF to Be More Diligent and Determined to Study. Overall, IT Will Be A Time When You Are EspeCially Intended to Study. Which will result in your learning development. If The Basis of Your Habits is not a very Patient Person Must Be Careful to Be Diligent for A Short Whit. The Academic Performance is at a Satisfactory Level. However, You Must Be Serious About Studying As Well. IN PEOPLE WHOO GRAVE GRADUATED with a Bachelor's Degree You May An Idea to Study a Master's Degree. Or Study to a ph.d."
The Hierophant,luck,"During this Period, Your Horoscope Will Not Have Much Fortune. But Should Go to Make Merit and Enhance the Horoscope Will Help The Life to Be Smoother IF Asked about the Gamble, This Card IS NOTE VERY Effective in this Field. Risk of About 20%"
The Lovers,card_name,The Lovers
The Lovers,love_single,"If you are a still Single, There Will Be A New Criteria to Find Love. Meet People Who are very charming. Difficult to Restrain in Addition, Meeting in the Midst of a Refreshing atmosphere. Have the Opportunity To Developments As Well Or You May Be in A Situation That Choose Who is good in the right."
The Lovers,love_in_relationship,"It Was a Time Full of Joy. Feeling Happy and Unable to Tell IF You Have Just Been in a Relationship, IT Will Be in the Back of the Randomly. Anything is good, but in the long run, it is a bezesary to study a lot of temples. IF Dating for a Long Time, in this Period, Lovers Will Pay Attation to You. Makes the Relationship Sweeter More Than Bet"
The Lovers,career,"There Will Be also Situations for you to make a decision on work. Or have more than 1 proposal in your work. IF Looking for a Job, There Are Criteria to Get a New Job As Well. But the Oport Unity is not Yet Full Still. First you will feel that you have learning new about work, Making you not very bORD in this period. In Personal Business People, There Will Be A Good Way To make your business more well -known. IN Addition, You may havehe The Idea of ​​Jointly Invest in Doing Some Business with Your Friends As Well. Or Some People May Be Looking for Business Partners Whatition With Partners at This Stage is Considered A Good Rhythm."
The Lovers,finance,"Finances in this phase are acceptly in the form of left-hand.-Pay The Right Hand All the Time. EVEN IF YOU TRY TO SAVE ,TER ARE ARE ALWAYS THINES TO SPEND. ESPECIALLY IF You like to Socialize Meeting New People, IT Makes Your Expenditure Even More. IF Thinking of Saving, Hiving to Try to Reduce Some Parties, IT May Be Enough to Help. In Addition, You Tend to Lose Money with Clothes. Orive Special Ornaments As Well in People Who Work Regularly, IT May Be Difficult to Find more Money. But if you have an additional Job, it will be considered a revenue from additional work. Causing Not to Feel that Money is very tight for private workers, finances are not very stable. Therefore, There Should Be A Reserve in the Business as well."
The Lovers,health,"During this Period, The Overall Health is not very world. Just Be Careful of Pain or Slightly Injured in the Shoulder or Upper Arm Area, There May Be Sprains in People Who Are Sick, The Symptoms Have Not Improved, But in the Stability. Therefore Should Take Care of the Body a lot"
The Lovers,personality,"The Dream is Imagined. There is a high energy. But Must give People to Stimulate A Lot of Friends, Like to Socialize, Do not Like Being alone. Always Open Friendship and Love. Make It Look Flirtatious Spend Money According to Emotions Rarely Collected Money often do Not Like to Conceal Anything Be Revealed"
The Lovers,education,"Your studies are not considered very good. But is in the Criteria that is Considered Ok During this Period, Your Mood will Rise and Fall. Feeling Diligent in Studying Periodically. After a Long Time, IT BECAME LAZY. Therefore, BE CARELOL OF SHORT CONCENTESTATION IN SCHOOL. IN SEA PEAPLE, IT May Be in A Situation That Be Chosen in One Way, Such As Chosing What Facult. Or What Subject or May Choose to Move to Study Well, for Example, in the Decision, Should Be Considered CareFully Otherwise, IT May Be Sad Later. ITRE IN EXAM in this Period, There Are Criteria to pass the Exams."
The Lovers,luck,"During this Period, There May Be a Little Fortune from Your Friends. Or From Your Own Lover In Terms of Gamble, There is a still a risk of about 50%."
The Chariot,card_name,The Chariot
The Chariot,love_single,"You will feel tired of mother. But not that There is no opport Unity to find love in peper who are still Single, if the are tourism Traveling May A also Find Love. But if you like it, you have to go and flirt with you. IF Not Doing Anything at All"
The Chariot,love_in_relationship,"Must Be Careful of Argumes or Quarrel with Each Other. During this period, you may have to mind that Lovers are quit overbearing and turning to overcome you. Some People May Feel that a Fussy Lover and People Are Soonying. Therefore, IT IS BETTER to Calm Down and Do Not Keep a Small Matter to Think of a Headache."
The Chariot,career,"The Situation On This Period of Work May Have Maglems. Makes You a Headache and Feel Exhausted IFO You Have to Contact Both People in the Organization. Or outsiders you should be very Careful about your emotions before. INCLUDING BEINGIVELY SEEN PEOPLE, The Will Feel that The Work is overwhelming. Called that it was a chaotic matter about work. However, if you can endure Enough, You Can Overcome Your Own Problems and Will Make You Better. For Personal Business People, The Still Have to Overcome a lot of obstacles. INCLUDING BUSINESS STOTITORSTORS THAT ARE Increasing As Well"
The Chariot,finance,"You will feel tired. And Saw That Before Getting The Money, IT Was Dificult During this Period, You will Still Have the Ability to make a spend in time, but you will feel like you have to work hard. To get Money However, Overall There Will BE BE BEEST ENOUGH Money But TO BE Extravagant. Therefore, Do not Spend or Increase the Cost that is not Necessary. It is Better to Reserve Money First. IN PEOPLE WHO DO PERSONAL BUSINESS, STILL HAVE TO BE TIRED. Must Follow The Customer's Credit Limit Until Bored But Had A CHANCE IF Thinking of Investing During This Period, Should Wait for the Time BECAUSE There is a chance money of money. Or Investment for a Long Time to Return The Return"
The Chariot,health,"Health Should Go to Check Some BECAUSE ILL WITHOUT BOWING IT. Or There May Be a Small Accident that Can Occur, So Must Be Rey Careful Who Are Sick, the Symptoms First First First The Optors the Optort Unity to Collapse. Still consid used quit Well. S"
The Chariot,personality,"The Habit of Fighting People is Not Afraid and Disobedient. Like Traveling, Love Cars, often Travel or Family Highly Responsible and Patience Can Be Pressured Doing Anything to Achieve Success. HONEST to Work and Friends Mood Swings Easy to Get Angry."
The Chariot,education,"Overall, You Need to Diligently Study More. You may feel tired or lazy. But this Card often Indicates The Success Obtended from HIS OWN Efforts. And Not MANY PEOPLE Provide Help Therefore, IF You are more determined to Study the Results Will Definitly Make You Feel Proud. In People Who Work Groups, Be Careful, There Are Pro Problems with Group As Well. Therefore, Should Calm Down and Do not use Emotions BECAUSE IT Will Cause The Problem to Escalate. ITRE Is A Competitive Examination at This Time, There Are also Winning Criteria. Or Successful Butte Exchange with the Hard Effort"
The Chariot,luck,"Regarding The Fortune, IT Ite is Not Reiry Coming in. Wantimeting to Rely on Your Own Efforts to SucCEED IN TERMS of Gamble, There Are NOT MANY OPPORTUNITINES ABOOT 20%."
Strength,card_name,Strength
Strength,love_single,"In Single Women, You Will Feel that You have digity. And Do not want to allow anyone easy, so in some people May choose to be more Single Than Struggling to Find A GirLFREND BECAUSE You DON'T TO Change YouSELF for Those Whose Who Who White THE OPPORTUNT NUTUNT NUTUNY TOE BE Fulfilled. If you can deCide, it will be good. Than BECAUSE IF WAITING, May Have to Wait A Long Time"
Strength,love_in_relationship,Must Be Careful of Conflicts BECAUSE You TEND TEND TEND TOND TOND TOLOW LOVERS OY TOO MUCH TOOE THE WELL ARS ARE Good for Women BECASE THE THE THE THE THE THE THE THE THE DONT ALAM ALAT DIDAY ALOT DINITY)
Strength,career,"During this Period, There Will Be The Opportunity to Show the Ability at Work. Be Assigned to a New way, Which will be a job that you feel is difficult for you. But IF You SucCEED, IT Will Give You A Lot of Experiences that are very valuable. Be Careful of Conflicts with Colleagues or Women Who are Women. Therefore, Be Careful of Your Own Expression. DON'T BE TOO CONFIDENT IN YOUSELF BECAUSE IT WILL BE SEN AS Hard. Or not listtening to others for those who work, Private will be quite Difficult. The Situation in the Business is Noty Good. But IF Not Easily Given Up, Things Will Definitly BE RESOLOVED in A Better Direction"
Strength,finance,"IT was a time when the money spread. And Has Quite a lot of Expenses. You Will Feel The Deficiency of Money, So don't Be Careless In Spement Money. Many People May Have Money to Pay for Health. InCluding The Side of the Luxury As Well IT is ALSO CARE WRER BIG FACE. BECAUSE IT May Be Used to Feed Friends Untiil Causing HIMSELF TUPEPLE WHO Do Personal Business During This Period Musty Support the Company BECAUSE IT May Be More Difficult to make Money in People Who have Ideas to Investheer Playing Stocks Or Increase the Capital in the Business It Should Be Better to Slow Down."
Strength,health,"Overall, your health is still consid good. There is not Much Illness. But Be Careful About Using Your Eyes May Eye Pain Especially Those Who Work to Stare at the Computer often for People Who Are Sick and Sick. Will tend to get well soon"
Strength,personality,"Have High Self -Confidence, Gentle, Brave, Strong, Doing Someting Serious LOUD MONEY TEND MONEY on Self -Care ORI BUY TONE ABSALUTLUSLUSLUSLFESLFESLE EMETELFES Watching A Lot and the Owner of the Eyes of Others BECASE There is a Habit of Chosing a Controller."
Strength,education,"IT was a time when tiring and especially patient. You will feel that studying during this period is More Difficult than Usual. And There is anxiety that the academic performance can be worsver, if you have enough commitment, you can defin missy pass it. If you have the opportdeity to try to give a sensd to recommend to study, it will be useful to you. IN Addition, IT May Be Given Useful Advice from Older Women. May Be Seniors or Female Teachders As Well in Group Work, Do NOT BE TOO Confident in You are. ITRE Is Any Exam in This Phase, IT Must Be More Diligent Thank you."
Strength,luck,"Regarding The Fortune is Not Gery Clear. So Don't Expect As for the Opportunities in the Field of Luck, There is a change. The Average of About 30-40%"
The Hermit,card_name,The Hermit
The Hermit,love_single,"This period will be aively and lonely time. You will feel delsple sad to be alone. Doddn't show Let Other People Know About Love, IFE SECRETLY LIKE OMONE FOR A LONG TOME WILL STARE TO BE THE PURIOD THE YOU PUT On Everything, Including Noting to Pour Pouring to the others Party Anymore"
The Hermit,love_in_relationship,There are gaps in the relationship Between you and your lover. IT May Be Said That It is a Period Where are are lovers. But it seems Like no Lovers TEND TEND TEND TEND TEND TONE PEAPLE ALONE NOT HAVE TIME for You Some Cases May Mean PEOPLE WHOO WHOO OLDER PEOPLE. Or the Habit of Being More Mature As Well
The Hermit,career,"Regarding Work, You will be bored of work periodically. Most of the Work You Are Responsible for Is often Not Able to find Help. Or have to take the role hard to do alone be care of the PEOPLE WHOO WOROC. This Period Should Be Idle, Do NOT BE TOO BUTY WITH Anyone. In Addition, IT May Be Adults at Work Fussy with You. Must Be Gery Patient Anyone Who Wan Resign in This Period Must Accept that IFO You don't have Extra Income or Other Special Abilities, You may Benee Bee Unployed Longers. For Those who do the do their own work or do Personal Business During this Period, The Atmosphere in the Event will be lonely. NOT MANY CUSTOMERS BUSILN NOT RUINED"
The Hermit,finance,"Your financial situation is still smooth. There are are often Small Obstacles or Expeditures, Causing The Money to Be Delayed. However, IF Careful, Save Money Early, Theen Can Solve The Situation Only. There May Be Financial News. But Had to WAIT for a Long Time To get as agreed people Who Do Personal Business Are Just Expection Or expressing the During this Period. IS IS BETTER to Support the Situation before. ITRE Is a Chance to Go to the Temple to Make Merit, IT Will Bee Good. BECAUSE IT WILL PRANCE Your Financial Horoscope"
